date,city,type,temp_min,temp_max,weather,wind_direction,wind_speed,humidity,precip_mm
2025-08-01,Perth,historical,21.4,30.7,3,162,20.2,50,0
2025-08-02,Perth,historical,19.3,30.7,3,105,19.7,51,0
2025-08-03,Perth,historical,19.9,29.9,51,90,20,42,0.1
2025-08-04,Perth,historical,17.9,25.3,61,94,25.4,52,1.6
2025-08-05,Perth,historical,17.9,26.8,53,82,23.5,52,1.1
2025-08-06,Perth,historical,17.3,27.6,2,132,12.9,63,0
2025-08-07,Perth,historical,18,26.8,51,277,12.7,72,0.2
2025-08-08,Perth,historical,19.2,25.1,51,222,14.4,78,0.5
2025-08-09,Perth,historical,17,24.9,2,190,19.1,71,0
2025-08-10,Perth,historical,15.1,27,0,177,17.5,63,0
2025-08-11,Perth,historical,19.8,32.7,61,85,16.4,47,2.8
2025-08-12,Perth,historical,19.4,25.2,53,209,15,76,1.1
2025-08-13,Perth,historical,18.2,27.7,53,194,12.9,73,1.1
2025-08-14,Perth,historical,17.9,23.6,51,218,15.8,80,0.5
2025-08-15,Perth,historical,14.9,24.4,0,177,16,70,0
2025-08-16,Perth,historical,14.6,26.2,3,173,19.3,60,0
2025-08-17,Perth,historical,16.3,25.3,2,188,27,61,0
2025-08-18,Perth,historical,12.6,21.6,3,161,16.8,61,0
2025-08-19,Perth,historical,11.2,21.7,2,113,14.2,53,0
2025-08-20,Perth,historical,13,23.6,2,93,13.4,49,0
2025-08-21,Perth,historical,16.1,29.1,51,62,20.2,45,0.5
2025-08-22,Perth,historical,20.3,30.5,63,14,19.4,52,3.4
2025-08-23,Perth,historical,18.5,24.1,53,274,21.7,76,2.5
2025-08-24,Perth,historical,13.6,20.2,51,176,21,64,0.2
2025-08-25,Perth,historical,10.5,21.9,1,141,15.6,65,0
2025-08-26,Perth,historical,12.1,22.2,3,144,18,67,0
2025-08-27,Perth,historical,10.1,20.9,3,183,16.4,72,0
2025-08-28,Perth,historical,12,23,0,117,9.6,60,0
2025-08-29,Perth,historical,12.7,24.3,3,86,12.8,52,0
2025-08-30,Perth,historical,15.1,27.7,2,75,13.3,42,0
2025-08-01,Geraldton,historical,24.9,36.9,0,136,29.8,38,0
2025-08-02,Geraldton,historical,24,38.7,3,128,24.6,35,0
2025-08-03,Geraldton,historical,24.8,38.1,3,37,32.2,35,0
2025-08-04,Geraldton,historical,22.6,27.9,3,320,21.6,75,0
2025-08-05,Geraldton,historical,20.4,27.4,55,332,21.6,67,1.7
2025-08-06,Geraldton,historical,19.7,30.3,3,320,20.5,71,0
2025-08-07,Geraldton,historical,19.7,27.9,3,245,14.7,73,0
2025-08-08,Geraldton,historical,21.2,27.8,51,186,23.4,71,0.3
2025-08-09,Geraldton,historical,17.9,28.5,0,167,23.3,71,0
2025-08-10,Geraldton,historical,17.5,31.7,0,159,24,64,0
2025-08-11,Geraldton,historical,23.5,34.2,3,115,19.8,37,0
2025-08-12,Geraldton,historical,22,28.2,1,191,17.6,75,0
2025-08-13,Geraldton,historical,20.3,27.6,51,221,15.7,77,0.6
2025-08-14,Geraldton,historical,19.3,26.5,53,189,16.1,75,1.7
2025-08-15,Geraldton,historical,16.6,27.4,0,161,22.8,67,0
2025-08-16,Geraldton,historical,17.3,27.3,51,172,32.8,63,0.2
2025-08-17,Geraldton,historical,18.6,25.8,61,173,33.6,66,2.4
2025-08-18,Geraldton,historical,15.9,24.9,1,157,26,63,0
2025-08-19,Geraldton,historical,14.5,25.7,0,121,19,46,0
2025-08-20,Geraldton,historical,16,29.8,0,92,24.8,41,0
2025-08-21,Geraldton,historical,22,32.9,2,45,28.4,41,0
2025-08-22,Geraldton,historical,21.3,33.8,3,14,21.3,54,0
2025-08-23,Geraldton,historical,20.8,26.8,51,227,20.5,73,2
2025-08-24,Geraldton,historical,16.9,23.8,51,172,29.2,63,0.1
2025-08-25,Geraldton,historical,12.8,24.5,3,126,19.3,46,0
2025-08-26,Geraldton,historical,15.3,23.9,3,114,18,44,0
2025-08-27,Geraldton,historical,12.7,25,0,132,20.1,43,0
2025-08-28,Geraldton,historical,14,27.8,2,114,21.1,37,0
2025-08-29,Geraldton,historical,16.2,29.1,3,86,21.6,36,0
2025-08-30,Geraldton,historical,18.6,31.9,3,77,22.1,33,0
2025-08-01,Carnarvon,historical,25.7,31.8,1,197,26.1,65,0
2025-08-02,Carnarvon,historical,24.5,31.9,3,240,21.2,75,0
2025-08-03,Carnarvon,historical,25.2,30.9,3,223,21.5,74,0
2025-08-04,Carnarvon,historical,24.2,28.2,3,218,26.8,70,0
2025-08-05,Carnarvon,historical,22,28.1,53,267,17.1,67,0.7
2025-08-06,Carnarvon,historical,20.9,29.4,1,251,16.3,63,0
2025-08-07,Carnarvon,historical,20.9,29.1,3,209,14.9,64,0
2025-08-08,Carnarvon,historical,22.2,30,3,178,25.8,67,0
